Sample Name:,At a glance:,,,,,,,,Status:,Notes:,Process ID:,Used By:,Deposition Parameters:,,,,,,,,,,,,,,Thickness Measurements:,,,,,,Resistance Measurements:,,,,,,,,,
,Substrate:,d (nm),Rs,Tc,Delta Tc,Rho,RRR,Rho*Tc,,,,,Deposition Date:,Run #:,Substrate:,SiNx or SiO2 Thickness (nm):,Chuck Slot:,Temperature (C):,Deposition Time (s),Current setpoint (mA) -or- Power setpoint (W),Nitrogen Flow (sccm),Argon Flow (sccm),Pressure (mTorr),Chuck Height (mm),Pre-deposition Spark Power (W),"Peak Power, Shutter Open (W)",Reflectance:,Transmittance:,Absorptance:,Synthesis Protocol:,Thickness (nm) (Visible Trans),Thickness (nm) (IR Trans),R_sheet Initial,R_sheet_Tc,T_C,Delta T_C,RRR,Synthesis Protocol:,rho (uOhm*cm):,rho*Tc (Ohm*nm*K):,deposition rate (nm/min):,Exclude (Y if yes else ''):
SPD067,MgO,,111,,,0,,0,Released to Fab,Fab,,,4/19/12,72,MgO,,,800,150,400,,,,47,,,,,,,,,111,,,,,,0,0,0,
SPD068,MgO,,113,,,0,,0,Released to Fab,Fab,,,4/19/12,72,MgO,,,800,150,400,,,,47,,,,,,,,,113.5,,,,,,0,0,0,
SPD069,MgO,36.7,66,,,242,,0,,Deposition Rate Test,,,4/20/12,73,MgO,,,800,300,400,,,,47,,,0.5791,0.6559,0.3551,based on T,36.7,,66,,,,,,242.27,0,7.34,
SPD070,MgO,,66,,,0,,0,,Deposition Rate Test,,,4/20/12,73,MgO,,,800,300,400,,,,47,,,,,,,,,66.1,,,,,,0,0,0,
SPD071,MgO,36.5,66,,,241,,0,,Deposition Rate Test,,,4/20/12,73,MgO,,,800,300,400,,,,47,,,0.5823,0.067,0.3507,based on T,36.5,,66.1,,,,,,241.39,0,7.3,
SPD072,MgO,,66,,,0,,0,,Deposition Rate Test,,,4/20/12,73,MgO,,,800,300,400,,,,47,,,,,,,,,66.3,,,,,,0,0,0,
SPD073,MgO,16.4,72,,,118,,0,,Deposition Rate Test,,,4/20/12,74,MgO,,,800,300,400,,,,47,,,0.416,0.2362,0.3478,based on T,16.4,,72.1,,,,,,118.21,0,3.28,
SPD074,MgO,,70,,,0,,0,,Deposition Rate Test,,,4/20/12,74,MgO,,,800,300,400,,,,47,,,,,,,,,69.9,,,,,,0,0,0,
SPD075,MgO,16,69,,,110,,0,,Deposition Rate Test,,,4/20/12,74,MgO,,,800,300,400,,,,47,,,0.3991,0.2427,0.3582,based on T,16,,68.5,,,,,,109.62,0,3.2,
SPD076,MgO,,73,,,0,,0,,Deposition Rate Test,,,4/20/12,74,MgO,,,800,300,400,,,,47,,,,,,,,,72.6,,,,,,0,0,0,
HAK097/HAK098,,,480,,,0,,0,,,,,,,,,,,,,,,,47,,,,,,,,,480,,,,,,0,0,#DIV/0!,
SPD077,MgO,16.3,63,,,102,,0,,Deposition Rate Test,,,4/23/12,75,MgO,,,800,300,400,,,,47,,,0.4258,0.2381,0.3361,based on T,16.3,,62.8,,,,,,102.37,0,3.26,
SPD078,MgO,,64,,,0,,0,,Deposition Rate Test,,,4/23/12,75,MgO,,,800,300,400,,,,47,,,,,,,,,63.9,,,,,,0,0,0,
SPD079,MgO,"16,6",65,,,#VALUE!,,#VALUE!,,Deposition Rate Test,,,4/23/12,75,MgO,,,800,300,400,,,,47,,,0.4361,0.2331,0.3309,based on T,"16,6",,65.4,,,,,,#VALUE!,#VALUE!,#VALUE!,
SPD080,MgO,,67,,,0,,0,,Deposition Rate Test,,,4/23/12,75,MgO,,,800,300,400,,,,47,,,,,,,,,66.6,,,,,,0,0,0,
SPD081,MgO,,48,,,0,,0,,Deposition Rate Test,,,4/24/12,76,MgO,,,800,300,400,,,,47,,,,,,,,,48.4,,,,,,0,0,0,
SPD082,MgO,,48,,,0,,0,,Deposition Rate Test,,,4/24/12,76,MgO,,,800,300,400,,,,47,,,,,,,,,47.7,,,,,,0,0,0,
SPD083,MgO,,48,,,0,,0,,Deposition Rate Test,,,4/24/12,76,MgO,,,800,300,400,,,,47,,,,,,,,,47.8,,,,,,0,0,0,
SPD084,MgO,,48,,,0,,0,,Deposition Rate Test,,,4/24/12,76,MgO,,,800,300,400,,,,47,,,,,,,,,47.7,,,,,,0,0,0,
SPD085,MgO,9.7,160,,,156,,0,,Fab,,KS,4/25/12,77,MgO,,,800,150,400,,,,47,,,0.289,0.3747,0.3363,based on T,9.74,,160.3,,,,,,156.17,0,3.9,
SPD086,MgO,,162,,,0,,0,,Fab,,KS,4/25/12,77,MgO,,,800,150,400,,,,47,,,,,,,,,162.1,,,,,,0,0,0,
SPD087,MgO,,172,,,0,,0,,Fab,,KS,4/25/12,77,MgO,,,800,150,400,,,,47,,,,,,,,,171.6,,,,,,0,0,0,
SPD088,MgO,,163,,,0,,0,lost,Fab,,KS,4/25/12,77,MgO,,,800,150,400,,,,47,,,,,,,,,162.7,,,,,,0,0,0,
SPD089,MgO,,"1,749",,,0,,0,,Fab,,,4/26/12,78,MgO,,,800,45,400,,,,47,,,,,,,,,"1,749.40",,,,,,0,0,0,
SPD090,MgO,,"1,457",,,0,,0,,Fab,,,4/26/12,78,MgO,,,800,45,400,,,,47,,,,,,,,,"1,456.80",,,,,,0,0,0,
SPD091,MgO,,"1,487",,,0,,0,,Fab,,,4/26/12,78,MgO,,,800,45,400,,,,47,,,,,,,,,"1,486.80",,,,,,0,0,0,
SPD092,MgO,,"1,468",,,0,,0,,Fab,,,4/26/12,78,MgO,,,800,45,400,,,,47,,,,,,,,,"1,467.80",,,,,,0,0,0,
SPD093,MgO,,738,,,0,,0,,Fab,,,4/26/12,79,MgO,,,800,45,400,,,,47,,,,,,,,,738.4,,,,,,0,0,0,
SPD094,MgO,,565,,,0,,0,,Fab,,,4/26/12,79,MgO,,,800,45,400,,,,47,,,,,,,,,564.9,,,,,,0,0,0,
SPD095,MgO,2.9,601,9.9,2.08,173,0.772,"17,130",Tc testing done.,Fab,,,4/26/12,79,MgO,,,800,45,400,,,,47,,,0.1671,0.6535,0.1794,based on T,2.88,,600.8,,9.9,2.08,0.77,Manual,173.03,"17,129.65",3.84,
SPD096,MgO,,647,,,0,,0,,Fab,,,4/26/12,79,MgO,,,800,45,400,,,,47,,,,,,,,,647.4,,,,,,0,0,0,
SPD097,MgO,,68,,,0,,0,,Deposition Rate Test,,,4/27/12,80,MgO,,,800,300,400,,,,47,,,,,,,,,67.7,,,,,,0,0,0,
SPD098,MgO,,68,,,0,,0,,Deposition Rate Test,,,4/27/12,80,MgO,,,800,300,400,,,,47,,,,,,,,,67.7,,,,,,0,0,0,
SPD099,MgO,,69,,,0,,0,,Deposition Rate Test,,,4/27/12,80,MgO,,,800,300,400,,,,47,,,,,,,,,68.7,,,,,,0,0,0,
SPD100,MgO,,69,,,0,,0,,Deposition Rate Test,,,4/27/12,80,MgO,,,800,300,400,,,,47,,,,,,,,,68.5,,,,,,0,0,0,
SPD101,MgO,,51,,,0,,0,,Deposition Rate Test,,,4/28/12,81,MgO,,,800,300,400,,,,47,,,,,,,,,50.6,,,,,,0,0,0,
SPD102,MgO,,51,,,0,,0,,Deposition Rate Test,,,4/28/12,81,MgO,,,800,300,400,,,,47,,,,,,,,,50.8,,,,,,0,0,0,
SPD103,MgO,,51,,,0,,0,,Deposition Rate Test,,,4/28/12,81,MgO,,,800,300,400,,,,47,,,,,,,,,51.1,,,,,,0,0,0,
SPD104,MgO,,53,,,0,,0,,Deposition Rate Test,,,4/28/12,81,MgO,,,800,300,400,,,,47,,,,,,,,,52.8,,,,,,0,0,0,
SPD105,MgO,3.2,396,11,1.58,126,0.931,"13,855",Tc testing done.,Fab,,,4/28/12,82,MgO,,,800,45,400,,,,47,,,0.1736,0.6362,0.1901,based on T,3.18,,396.1,,11,1.58,0.93,Manual,125.95,"13,855.03",4.24,
SPD106,MgO,,394,,,0,,0,Released to Fab,Fab,,QZ,4/28/12,82,MgO,,,800,45,400,,,,47,,,,,,,,,394.2,,,,,,0,0,0,
SPD107,MgO,,462,,,0,,0,Released to Fab,Fab,,QZ,4/28/12,82,MgO,,,800,45,400,,,,47,,,,,,,,,462.2,,,,,,0,0,0,
SPD108,MgO,,417,,,0,,0,Released to Fab,Fab,,QZ,4/28/12,82,MgO,,,800,45,400,,,,47,,,,,,,,,417.3,,,,,,0,0,0,
SPD109,MgO,,,,,0,,0,,Rs vs Time Meas.,,,5/2/12,83,MgO,,,800,45,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD110,MgO,,,,,0,,0,,Rs vs Time Meas.,,,5/2/12,83,MgO,,,800,45,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD111,MgO,,,,,0,,0,,Rs vs Time Meas.,,,5/2/12,83,MgO,,,800,45,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD112,MgO,,,,,0,,0,,Rs vs Time Meas.,,,5/2/12,83,MgO,,,800,45,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD113,MgO,,,,,0,,0,,Tc Measurements,,,5/3/12,84,MgO,,,800,45,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD114,MgO,,,,,0,,0,,Tc Measurements,,,5/3/12,84,MgO,,,800,45,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD115,MgO,,,,,0,,0,,Tc Measurements,,,5/3/12,84,MgO,,,800,45,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD116,MgO,,,,,0,,0,,Tc Measurements,,,5/3/12,84,MgO,,,800,45,400,,,,47,,,,,,,,,,,,,,,0,0,0,
GSD001,Glass,,"3,537",,,0,,0,,30% Power Thickness Test,,,5/4/12,85,Glass,,,20,50,300,,,,47,,,,,,,,,"3,537.00",,,,,,0,0,0,
GSD002,Glass,,"4,125",,,0,,0,,30% Power Thickness Test,,,5/4/12,85,Glass,,,20,50,300,,,,47,,,,,,,,,"4,125.10",,,,,,0,0,0,
GSD003,Glass,,"4,096",,,0,,0,,30% Power Thickness Test,,,5/4/12,85,Glass,,,20,50,300,,,,47,,,,,,,,,"4,095.70",,,,,,0,0,0,
GSD004,Glass,,"4,214",,,0,,0,,30% Power Thickness Test,,,5/4/12,85,Glass,,,20,50,300,,,,47,,,,,,,,,"4,214.40",,,,,,0,0,0,
GSD005,Glass,,834,,,0,,0,,30% Power Thickness Test,,,5/4/12,86,Glass,,,20,100,300,,,,47,,,,,,,,,833.7,,,,,,0,0,0,
GSD006,Glass,,803,,,0,,0,,30% Power Thickness Test,,,5/4/12,86,Glass,,,20,100,300,,,,47,,,,,,,,,803.3,,,,,,0,0,0,
GSD007,Glass,,807,,,0,,0,,30% Power Thickness Test,,,5/4/12,86,Glass,,,20,100,300,,,,47,,,,,,,,,806.6,,,,,,0,0,0,
GSD008,Glass,,836,,,0,,0,,30% Power Thickness Test,,,5/4/12,86,Glass,,,20,100,300,,,,47,,,,,,,,,836.4,,,,,,0,0,0,
GSD009,Glass,,454,,,0,,0,,30% Power Thickness Test,,,5/4/12,87,Glass,,,20,150,300,,,,47,,,,,,,,,453.5,,,,,,0,0,0,
GSD010,Glass,,460,,,0,,0,,30% Power Thickness Test,,,5/4/12,87,Glass,,,20,150,300,,,,47,,,,,,,,,459.7,,,,,,0,0,0,
GSD011,Glass,,454,,,0,,0,,30% Power Thickness Test,,,5/4/12,87,Glass,,,20,150,300,,,,47,,,,,,,,,454,,,,,,0,0,0,
GSD012,Glass,,458,,,0,,0,,30% Power Thickness Test,,,5/4/12,87,Glass,,,20,150,300,,,,47,,,,,,,,,458.2,,,,,,0,0,0,
GSD013,Glass,,"1,488",,,0,,0,,30% Power Thickness Test,,,5/4/12,88,Glass,,,20,75,300,,,,47,,,,,,,,,"1,487.90",,,,,,0,0,0,
GSD014,Glass,,"1,341",,,0,,0,,30% Power Thickness Test,,,5/4/12,88,Glass,,,20,75,300,,,,47,,,,,,,,,"1,341.30",,,,,,0,0,0,
GSD015,Glass,,"1,425",,,0,,0,,30% Power Thickness Test,,,5/4/12,88,Glass,,,20,75,300,,,,47,,,,,,,,,"1,424.70",,,,,,0,0,0,
GSD016,Glass,,"1,335",,,0,,0,,30% Power Thickness Test,,,5/4/12,88,Glass,,,20,75,300,,,,47,,,,,,,,,"1,334.70",,,,,,0,0,0,
GSD017,Glass,,185,,,0,,0,,30% Power Thickness Test,,,5/4/12,89,Glass,,,20,300,300,,,,47,,,,,,,,,185,,,,,,0,0,0,
GSD018,Glass,,186,,,0,,0,,30% Power Thickness Test,,,5/4/12,89,Glass,,,20,300,300,,,,47,,,,,,,,,185.8,,,,,,0,0,0,
GSD019,Glass,,185,,,0,,0,,30% Power Thickness Test,,,5/4/12,89,Glass,,,20,300,300,,,,47,,,,,,,,,185.1,,,,,,0,0,0,
GSD020,Glass,,191,10.3,,0,0.798,0,Tc measured,30% Power Thickness Test,,,5/4/12,89,Glass,,,20,300,300,,,,47,,,,,,,,,191,,10.3,,0.8,Manual,0,0,0,
GSD021,Glass,,"12,566",,,0,,0,,30% Power Thickness Test,,,5/6/12,91,Glass,,,20,50,300,,,,47,,,,,,,,,"12,566.00",,,,,,0,0,0,
GSD022,Glass,,"10,978",,,0,,0,,30% Power Thickness Test,,,5/6/12,91,Glass,,,20,50,300,,,,47,,,,,,,,,"10,977.70",,,,,,0,0,0,
GSD023,Glass,,"14,943",,,0,,0,,30% Power Thickness Test,,,5/6/12,91,Glass,,,20,50,300,,,,47,,,,,,,,,"14,943.10",,,,,,0,0,0,
GSD024,Glass,,"14,734",,,0,,0,,30% Power Thickness Test,,,5/6/12,91,Glass,,,20,50,300,,,,47,,,,,,,,,"14,734.10",,,,,,0,0,0,
GSD025,Glass,,"1,620",,,0,,0,,30% Power Thickness Test,,,5/6/12,92,Glass,,,20,100,300,,,,47,,,,,,,,,"1,620.00",,,,,,0,0,0,
GSD026,Glass,,"1,645",,,0,,0,,30% Power Thickness Test,,,5/6/12,92,Glass,,,20,100,300,,,,47,,,,,,,,,"1,645.00",,,,,,0,0,0,
GSD027,Glass,,"1,571",,,0,,0,,30% Power Thickness Test,,,5/6/12,92,Glass,,,20,100,300,,,,47,,,,,,,,,"1,570.70",,,,,,0,0,0,
GSD028,Glass,,"1,582",,,0,,0,,30% Power Thickness Test,,,5/6/12,92,Glass,,,20,100,300,,,,47,,,,,,,,,"1,582.40",,,,,,0,0,0,
GSD029,Glass,,780,,,0,,0,,30% Power Thickness Test,,,5/6/12,93,Glass,,,20,150,300,,,,47,,,,,,,,,780,,,,,,0,0,0,
GSD030,Glass,,784,,,0,,0,,30% Power Thickness Test,,,5/6/12,93,Glass,,,20,150,300,,,,47,,,,,,,,,784.4,,,,,,0,0,0,
GSD031,Glass,,764,,,0,,0,,30% Power Thickness Test,,,5/6/12,93,Glass,,,20,150,300,,,,47,,,,,,,,,764.1,,,,,,0,0,0,
GSD032,Glass,,792,,,0,,0,,30% Power Thickness Test,,,5/6/12,93,Glass,,,20,150,300,,,,47,,,,,,,,,792.2,,,,,,0,0,0,
GSD033,Glass,,518,,,0,,0,,30% Power Thickness Test,,,5/6/12,94,Glass,,,20,200,300,,,,47,,,,,,,,,517.6,,,,,,0,0,0,
GSD034,Glass,,520,8.2,,0,0.684,0,Tc testing done.,30% Power Thickness Test,,,5/6/12,94,Glass,,,20,200,300,,,,47,,,,,,,,,520.5,,8.2,,0.68,Manual,0,0,0,
GSD035,Glass,,508,,,0,,0,,30% Power Thickness Test,,,5/6/12,94,Glass,,,20,200,300,,,,47,,,,,,,,,508.4,,,,,,0,0,0,
GSD036,Glass,,514,,,0,,0,,30% Power Thickness Test,,,5/6/12,94,Glass,,,20,200,300,,,,47,,,,,,,,,513.6,,,,,,0,0,0,
SPD117,MgO,,183,,,0,,0,,Reproducibility Test at 30% Power,,,5/4/12,90,MgO,,,800,150,300,,,,47,,,,,,,,,182.7,,,,,,0,0,0,
SPD118,MgO,,167,,,0,,0,,Reproducibility Test at 30% Power,,,5/4/12,90,MgO,,,800,150,300,,,,47,,,,,,,,,166.5,,,,,,0,0,0,
SPD119,MgO,,157,,,0,,0,,Reproducibility Test at 30% Power,,,5/4/12,90,MgO,,,800,150,300,,,,47,,,,,,,,,157.2,,,,,,0,0,0,
SPD120,MgO,,160,,,0,,0,,Reproducibility Test at 30% Power,,,5/4/12,90,MgO,,,800,150,300,,,,47,,,,,,,,,159.9,,,,,,0,0,0,
SPD121,MgO,,189,,,0,,0,Clean film for pinning dose,Reproducibility Test at 30% Power,,QZ,5/7/12,95,MgO,,,800,150,300,,,,47,,,,,,,,,188.5,,,,,,0,0,0,
SPD122,MgO,,179,,,0,,0,Clean film for pinning dose,Reproducibility Test at 30% Power,,QZ,5/7/12,95,MgO,,,800,150,300,,,,47,,,,,,,,,178.9,,,,,,0,0,0,
SPD123,MgO,,167,,,0,,0,,Reproducibility Test at 30% Power,,,5/7/12,95,MgO,,,800,150,300,,,,47,,,,,,,,,166.5,,,,,,0,0,0,
SPD124,MgO,,165,,,0,,0,,Reproducibility Test at 30% Power,,,5/7/12,95,MgO,,,800,150,300,,,,47,,,,,,,,,164.6,,,,,,0,0,0,
SPD125,Sapphire,,206,,,0,,0,,Reproducibility Test at 30% Power (Dual Face),,,5/8/12,96-97,Sapphire,,,20-800,100-150,300,,,,47,,,,,,,,,205.7,,,,,,0,0,#VALUE!,
SPD126,Sapphire,,205,,,0,,0,,Reproducibility Test at 30% Power (Dual Face),,,5/8/12,96-97,Sapphire,,,20-800,100-150,300,,,,47,,,,,,,,,204.8,,,,,,0,0,#VALUE!,
SPD127,Sapphire,,199,,,0,,0,,Reproducibility Test at 30% Power (Dual Face),,,5/8/12,96-97,Sapphire,,,20-800,100-150,300,,,,47,,,,,,,,,198.5,,,,,,0,0,#VALUE!,
SPD128,Sapphire,,195,,,0,,0,,Reproducibility Test at 30% Power (Dual Face),,,5/8/12,96-97,Sapphire,,,20-800,100-150,300,,,,47,,,,,,,,,194.9,,,,,,0,0,#VALUE!,
SPD129,MgO,,181,,,0,,0,,Reproducibility Test at 30% Power (Dual Face),,,5/8/12,98-99,MgO,,,20-800,100-150,300,,,,47,,,,,,,,,181,,,,,,0,0,#VALUE!,
SPD130,MgO,,191,,,0,,0,,Reproducibility Test at 30% Power (Dual Face),,,5/8/12,98-99,MgO,,,20-800,100-150,300,,,,47,,,,,,,,,191.3,,,,,,0,0,#VALUE!,
SPD131,MgO,,165,,,0,,0,,Reproducibility Test at 30% Power (Dual Face),,,5/8/12,98-99,MgO,,,20-800,100-150,300,,,,47,,,,,,,,,165.1,,,,,,0,0,#VALUE!,
SPD132,MgO,,195,,,0,,0,,Reproducibility Test at 30% Power (Dual Face),,,5/8/12,98-99,MgO,,,20-800,100-150,300,,,,47,,,,,,,,,194.7,,,,,,0,0,#VALUE!,
SPD133,Sapphire,,209,,,0,,0,,Reproducibility Test at 30% Power (Dual Face),,,5/8/12,100-101,Sapphire,,,20-800,100-150,300,,,,47,,,,,,,,,208.7,,,,,,0,0,#VALUE!,
SPD134,Sapphire,,205,,,0,,0,,Reproducibility Test at 30% Power (Dual Face),,,5/8/12,100-101,Sapphire,,,20-800,100-150,300,,,,47,,,,,,,,,205.4,,,,,,0,0,#VALUE!,
SPD135,Sapphire,,201,,,0,,0,,Reproducibility Test at 30% Power (Dual Face),,,5/8/12,100-101,Sapphire,,,20-800,100-150,300,,,,47,,,,,,,,,201,,,,,,0,0,#VALUE!,
SPD136,Sapphire,,199,,,0,,0,,Reproducibility Test at 30% Power (Dual Face),,,5/8/12,100-101,Sapphire,,,20-800,100-150,300,,,,47,,,,,,,,,199.5,,,,,,0,0,#VALUE!,
SPD137BAD,Sapphire,,,,,0,,0,,,,,5/9/12,102-103,Sapphire,,,20-800,100-50,300,,,,47,,,,,,,,,,,,,,,0,0,#VALUE!,
SPD138BAD,Sapphire,,,,,0,,0,,,,,5/9/12,102-103,Sapphire,,,20-800,100-50,300,,,,47,,,,,,,,,,,,,,,0,0,#VALUE!,
SPD139BAD,Sapphire,,,,,0,,0,,,,,5/9/12,102-103,Sapphire,,,20-800,100-50,300,,,,47,,,,,,,,,,,,,,,0,0,#VALUE!,
SPD140BAD,Sapphire,,,,,0,,0,,,,,5/9/12,102-103,Sapphire,,,20-800,100-50,300,,,,47,,,,,,,,,,,,,,,0,0,#VALUE!,
SPD141,Sapphire,,764,,,0,,0,,Reproducibility Test at 30% Power (Dual Face),,,5/10/12,104-105,Sapphire,,,20-800,100-80,300,,,,47,,,,,,,,,763.7,,,,,,0,0,#VALUE!,
SPD142,Sapphire,,770,,,0,,0,,Reproducibility Test at 30% Power (Dual Face),,,5/10/12,104-105,Sapphire,,,20-800,100-80,300,,,,47,,,,,,,,,770.4,,,,,,0,0,#VALUE!,
SPD143,Sapphire,,708,,,0,,0,,Reproducibility Test at 30% Power (Dual Face),,,5/10/12,104-105,Sapphire,,,20-800,100-80,300,,,,47,,,,,,,,,708,,,,,,0,0,#VALUE!,
SPD144,Sapphire,,709,,,0,,0,,Reproducibility Test at 30% Power (Dual Face),,,5/10/12,104-105,Sapphire,,,20-800,100-80,300,,,,47,,,,,,,,,709.3,,,,,,0,0,#VALUE!,
GSD037,Glass,,382,,,0,,0,,Very different parameter test,,,5/11/12,106,Glass,,,20,100,300,,,,47,,,,,,,,,382,,,,,,0,0,0,
GSD038,Glass,,372,,,0,,0,,Very different parameter test,,,5/11/12,106,Glass,,,20,100,300,,,,47,,,,,,,,,372,,,,,,0,0,0,
GSD039,Glass,,380,,,0,,0,,Very different parameter test,,,5/11/12,106,Glass,,,20,100,300,,,,47,,,,,,,,,380,,,,,,0,0,0,
GSD040,Glass,,401,,,0,,0,,Very different parameter test,,,5/11/12,106,Glass,,,20,100,300,,,,47,,,,,,,,,401,,,,,,0,0,0,
SPD145,MgO,,773,10.52,1.99,0,,0,Tc Testing Done,600 Ohms/Square Deposition for Tc Meas,,,5/11/12,107,MgO,,,800,45,400,,,,47,,,,,,,,,773.5,,10.52,1.99,,MATLAB,0,0,0,
SPD146,MgO,,528,11.38,1.75,0,,0,Tc Testing Done,600 Ohms/Square Deposition for Tc Meas,,,5/11/12,107,MgO,,,800,45,400,,,,47,,,,,,,,,528.1,,11.38,1.75,,MATLAB,0,0,0,
SPD147,MgO,,838,10.31,2.1,0,,0,Tc Testing Done,600 Ohms/Square Deposition for Tc Meas,,,5/11/12,107,MgO,,,800,45,400,,,,47,,,,,,,,,838.2,,10.31,2.1,,MATLAB,0,0,0,
SPD148,MgO,,779,10.51,2.17,0,,0,Tc Testing Done,600 Ohms/Square Deposition for Tc Meas,,,5/11/12,107,MgO,,,800,45,400,,,,47,,,,,,,,,778.7,,10.51,2.17,,MATLAB,0,0,0,
SPD149,MgO,,327,,,0,,0,,Fab,,QZ,5/14/12,108,MgO,,,800,60,400,,,,47,,,,,,,,,326.6,,,,,,0,0,0,
SPD150,MgO,,331,,,0,,0,,Fab,,QZ,5/14/12,108,MgO,,,800,60,400,,,,47,,,,,,,,,330.8,,,,,,0,0,0,
SPD151,MgO,,335,,,0,,0,,Fab,,QZ,5/14/12,108,MgO,,,800,60,400,,,,47,,,,,,,,,335.2,,,,,,0,0,0,
SPD152,MgO,,309,12.67,1.23,0,0.886,0,Tc testing done,Fab,,,5/14/12,108,MgO,,,800,60,400,,,,47,,,,,,,,,309.5,,12.67,1.23,0.89,Manual,0,0,0,
SPD153,MgO,4.3,370,10.6,,159,0.751,"16,855",,Optimization of Growth Parameters,,,5/16/12,109,MgO,,,800,50,400,,,,47,,,0.1689,0.5778,0.2533,based on T,4.3,,369.8,,10.6,,0.75,Manual,159.01,"16,855.38",5.16,
SPD154,MgO,,370,11.4,,0,0.83,0,,Optimization of Growth Parameters,,,5/16/12,109,MgO,,,800,50,400,,,,47,,,,,,,,,370.3,,11.4,,0.83,Manual,0,0,0,
SPD155,MgO,,404,10.3,,0,0.731,0,,Optimization of Growth Parameters,,,5/16/12,109,MgO,,,800,50,400,,,,47,,,,,,,,,403.7,,10.3,,0.73,Manual,0,0,0,
SPD156,MgO,,406,10.5,,0,0.751,0,,Optimization of Growth Parameters,,,5/16/12,109,MgO,,,800,50,400,,,,47,,,,,,,,,406.4,,10.5,,0.75,Manual,0,0,0,
SPD157,MgO,5.6,315,,,176,,0,,Optimization of Growth Parameters,,,5/16/12,110,MgO,,,800,64,400,,,,47,,,0.1995,0.5184,0.282,based on T,5.6,,314.6,,,,,,176.18,0,5.25,
SPD158,MgO,5.7,312,9.6,0.86,178,1.017,"17,046",Tc Testing Done,Optimization of Growth Parameters,,,5/16/12,110,MgO,,,800,64,400,,,,47,,,0.1958,0.5135,0.2907,based on T,5.7,,311.5,,9.6,0.86,1.02,Manual,177.56,"17,046.10",5.34,
SPD159,MgO,5.4,316,9.8,0.88,171,1.033,"16,737",Tc Testing Done,Optimization of Growth Parameters,,,5/16/12,110,MgO,,,800,64,400,,,,47,,,0.1967,0.5261,0.2772,based on T,5.4,,316.3,,9.8,0.88,1.03,Manual,170.79,"16,737.15",5.06,
SPD160,MgO,5.4,311,,,168,,0,,Optimization of Growth Parameters,,,5/16/12,110,MgO,,,800,64,400,,,,47,,,0.1887,0.5274,0.2839,based on T,5.4,,311.3,,,,,,168.09,0,5.06,
SPD161,SiNx,,635,,,0,,0,,Fab,,FN,5/17/12,111,SiNx,,,20,68,400,,,,47,,,,,,,,,635,,,,,,0,0,0,
SPD162,SiNx,,625,,,0,,0,,Fab,,FN,5/17/12,111,SiNx,,,20,68,400,,,,47,,,,,,,,,624.8,,,,,,0,0,0,
SPD163,SiNx,,626,,,0,,0,,Fab,,FN,5/17/12,111,SiNx,,,20,68,400,,,,47,,,,,,,,,626.4,,,,,,0,0,0,
SPD164,SiNx,,636,,,0,,0,,Fab,,FN,5/17/12,111,SiNx,,,20,68,400,,,,47,,,,,,,,,636,,,,,,0,0,0,
SPD165,MgO,6.4,436,,,279,,0,,Optimization of Growth Parameters,,,5/21/12,112,MgO,,,800,96,400,,,,47,,,0.2332,0.486,0.2808,based on T,6.4,,435.7,,,,,,278.84,0,4,
SPD166,MgO,6.4,431,13.3,0.88,276,1.07,"36,661",Tc Testing Done,Optimization of Growth Parameters,,,5/21/12,112,MgO,,,800,96,400,,,,47,,,0.2341,0.4859,0.28,based on T,6.4,,430.7,,13.3,0.88,1.07,Manual,275.65,"36,660.94",4,
SPD167,MgO,6.4,423,,,270,,0,,Optimization of Growth Parameters,,,5/21/12,112,MgO,,,800,96,400,,,,47,,,0.2347,0.4845,0.2808,based on T,6.4,,422.6,,,,,,270.47,0,4,
SPD168,MgO,6.4,435,,,279,,0,,Optimization of Growth Parameters,,,5/21/12,112,MgO,,,800,96,400,,,,47,,,0.2345,0.4846,0.2809,based on T,6.4,,435.5,,,,,,278.69,0,4,
SPD169,MgO,,266,,,0,,0,Released to Fab,Fab,,QZ,5/21/12,113,MgO,,,800,60,400,,,,47,,,,,,,,,265.8,,,,,,0,0,0,
SPD170,MgO,,287,,,0,,0,Released to Fab,Fab,,QZ,5/21/12,113,MgO,,,800,60,400,,,,47,,,,,,,,,287.1,,,,,,0,0,0,
SPD171,MgO,,289,,,0,,0,Released to Fab,Fab,,QZ,5/21/12,113,MgO,,,800,60,400,,,,47,,,,,,,,,288.8,,,,,,0,0,0,
SPD172,MgO,,271,13.27,,0,0.949,0,Tc testing done and repeated after TMAH soak,Fab,,QZ,5/21/12,113,MgO,,,800,60,400,,,,47,,,,,,,,,271,,13.27,,0.95,Manual,0,0,0,
SPD173,SiNx,,654,,,0,,0,,Fab,,FN,5/22/12,114,SiNx,,,20,68,400,,,,47,,,,,,,,,654.2,,,,,,0,0,0,
SPD174,SiNx,,656,,,0,,0,,Fab,,FN,5/22/12,114,SiNx,,,20,68,400,,,,47,,,,,,,,,656,,,,,,0,0,0,
